напиши sql запрос, который создает таблицу и вставляет в нее данные, но перед этим транспонируй таблицу и оставь только сами округа, остальное нужно убрать:

-	Количество организаций, единиц	Направлено денежных средств на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, единовре-менные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Представи-тельские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Оплата услуг рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследовательских и опытно-конструкторских работ
Тульская область	655 	3 553 208 200 	210 544 886 	210 544 886 	156 943 421 	1 219 359 	1 185 013 	1 384 010 	47 840 	69 099 	196 686 	115 875 	294 	14 841 	175 562 	58 467 	103 119 	22 718 	36 919 	12 727 	5 896 	5 896 	-	-	1 582 439 	251 613 	4 287 142 	3 711 659 	342 533 	2 655 107 	1 646 563 	-
Ярославская область	796 	2 579 416 400 	111 985 189 	94 720 581 	71 155 688 	808 434 	11 641 964 	751 669 	60 767 	94 419 	198 311 	29 715 	105 	58 641 	16 166 	11 386 	14 902 	1 702 	674 	207 	54 235 	47 608 	-	-	1 742 477 	292 394 	2 139 233 	68 204 537 	173 837 	9 505 857 	1 628 175 	640 
г. Москва 	18 394 	322 121 036 430 	23 104 941 178 	17 457 777 613 	5 483 104 843 	243 969 516 	161 336 399 	75 412 993 	7 467 967 	117 663 	592 214 	3 786 543 	1 084 207 	8 824 	3 561 542 	1 828 700 	1 117 664 	546 476 	1 582 607 	649 952 	1 850 911 	941 791 	171 830 	72 775 	99 935 872 	4 579 267 	223 195 889 	1 050 834 806 	26 834 445 	305 141 935 	829 216 887 	3 614 446 
Северо-Западный федеральный округ	11 094 	78 072 007 400 	9 088 443 824 	5 169 990 429 	2 673 337 635 	85 395 432 	31 009 299 	14 817 582 	1 252 184 	48 118 	1 639 544 	1 753 526 	271 855 	188 932 	1 762 839 	624 716 	792 352 	258 887 	560 623 	111 198 	127 096 	42 669 	173 964 	4 927 	47 013 017 	4 767 531 	138 856 122 	7 181 056 944 	5 058 583 	84 602 118 	170 453 383 	70 328 
Республика Карелия	345 	546 585 495 	34 875 288 	31 360 869 	27 311 192 	115 752 	32 915 	150 831 	22 466 	-	-	1 041 	-	21 101 	52 573 	-	-	-	-	-	1 419 	1 419 	-	-	386 005 	10 504 	743 165 	801 798 	26 709 	472 681 	231 176 	-
Республика Коми	452 	1 407 574 166 	272 034 823 	71 623 870 	61 363 126 	548 742 	25 086 	1 221 900 	81 090 	-	63 991 	133 120 	-	-	542 042 	495 590 	12 664 	12 404 	109 243 	84 834 	128 	128 	-	-	3 918 529 	652 092 	714 913 	33 228 	63 868 	823 484 	1 302 047 	-
Архангельская область	455 	1 254 640 587 	81 758 457 	77 358 328 	69 125 769 	201 512 	14 691 	2 969 225 	189 841 	-	481 946 	177 539 	-	126 145 	56 417 	9 566 	40 950 	3 543 	42 642 	1 696 	-	-	79 359 	2 969 	1 911 239 	90 853 	651 309 	793 828 	70 818 	1 593 254 	699 271 	4 645 
в том числе: 																																
Ненецкий автономный округ	54 	237 368 629 	15 289 345 	15 142 445 	15 127 226 	15 107 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	139 925 	14 989 	62 755 	-	5 986 	76 422 	13 197 	-
Архангельская область                без автономного округа	401 	1 017 271 958 	66 469 112 	62 215 883 	53 998 543 	186 405 	14 691 	2 969 225 	189 841 	-	481 946 	177 539 	-	126 145 	56 417 	9 566 	40 950 	3 543 	42 642 	1 696 	-	-	79 359 	2 969 	1 771 314 	75 864 	588 554 	793 828 	64 832 	1 516 832 	686 074 	4 645 
Вологодская область	665 	3 210 369 699 	314 350 601 	247 244 231 	156 828 620 	5 283 694 	551 372 	653 942 	193 036 	-	119 320 	30 217 	-	284 	119 788 	4 292 	78 035 	12 404 	10 472 	24 	-	-	-	-	3 138 894 	57 748 	11 322 487 	441 487 	69 585 	2 023 023 	2 198 573 	-
Калинингpадская область	840 	4 464 370 338 	466 322 416 	447 799 699 	80 427 299 	1 504 759 	392 780 	1 159 312 	4 663 	-	48 692 	7 401 	-	7 715 	36 	-	96 882 	638 	2 674 	57 	-	-	27 188 	851 	526 310 	41 117 	1 411 146 	605 611 	100 850 	3 916 293 	4 753 076 	559 
Ленинградская область 	1 291 	6 210 477 460 	1 117 229 848 	971 437 713 	930 866 431 	2 468 063 	417 003 	1 397 718 	81 818 	-	26 182 	140 403 	-	18 003 	152 591 	14 323 	39 618 	-	160 236 	5 340 	28 377 	28 016 	48 761 	-	2 460 887 	215 038 	2 114 577 	217 610 	537 345 	5 733 667 	8 484 189 	436 
Мурманская область	375 	1 969 739 624 	227 461 319 	194 883 644 	192 878 859 	553 713 	225 113 	187 587 	33 450 	-	-	26 754 	9 791 	-	5 496 	728 	-	-	18 303 	1 985 	632 	74 	-	-	2 827 184 	145 999 	1 647 928 	-	143 762 	1 601 270 	340 689 	-
Новгородская область	293 	806 438 808 	39 352 127 	35 122 427 	28 019 061 	158 202 	424 588 	931 724 	25 157 	-	129 140 	129 364 	-	4 686 	224 061 	37 290 	32 006 	20 777 	87 579 	9 802 	18 691 	1 185 	18 656 	1 107 	775 710 	49 950 	1 271 477 	1 345 671 	144 052 	8 885 312 	1 191 570 	100 
Псковская область	301 	498 131 137 	15 645 284 	15 171 552 	10 046 534 	59 408 	63 682 	215 595 	15 603 	-	10 633 	2 844 	15 892 	-	11 093 	2 784 	7 006 	1 292 	1 303 	-	626 	626 	-	-	161 526 	16 099 	178 706 	-	82 772 	706 884 	249 482 	-
г. Санкт-Петербург	6 077 	57 703 680 086 	6 519 413 661 	3 077 988 096 	1 116 470 744 	74 501 587 	28 862 069 	5 929 748 	605 060 	48 118 	759 640 	1 104 843 	246 172 	10 998 	598 742 	60 143 	485 191 	207 829 	128 171 	7 460 	77 223 	11 221 	-	-	30 906 733 	3 488 131 	118 800 414 	7 176 817 711 	3 818 822 	58 846 250 	151 003 310 	64 588 
Южный                                федеральный округ	7 229 	25 137 721 141 	1 868 170 545 	1 479 981 999 	979 886 646 	15 633 290 	2 613 880 	6 716 320 	628 569 	38 152 	1 700 531 	214 401 	353 252 	64 082 	1 612 987 	264 732 	371 665 	174 735 	156 117 	25 242 	93 963 	23 242 	13 416 	13 416 	10 904 307 	1 511 062 	18 942 481 	14 460 119 	1 560 409 	34 821 577 	37 060 303 	19 605 
Республика Адыгея	196 	293 607 679 	14 417 523 	9 757 352 	9 682 698 	10 716 	-	7 552 	425 	-	-	-	-	-	2 574 	-	-	-	-	-	-	-	-	-	64 953 	3 567 	141 787 	-	10 191 	256 273 	586 089 	-
Республика Калмыкия	63 	12 385 534 	1 170 231 	1 170 231 	1 134 175 	56 	-	2 567 	-	-	-	2 567 	-	-	-	-	-	-	-	-	-	-	-	-	22 724 	150 	2 656 	-	1 062 	11 642 	3 092 	-
Республика Крым	591 	1 010 417 551 	84 832 244 	80 655 696 	77 546 860 	311 625 	26 813 	345 938 	1 469 	-	15 219 	37 568 	44 046 	878 	5 532 	5 532 	3 981 	1 025 	544 	3 	3 225 	177 	-	-	494 631 	79 827 	936 504 	4 555 038 	31 322 	1 483 513 	954 722 	2 619 
Краснодарский край	2 788 	14 929 764 289 	1 266 365 300 	972 944 825 	514 210 120 	12 462 846 	708 540 	2 895 056 	321 033 	-	1 235 846 	46 753 	180 268 	17 003 	649 027 	123 712 	7 280 	6 441 	4 121 	-	22 937 	1 853 	-	-	4 599 066 	520 540 	12 080 969 	4 164 663 	847 274 	19 937 487 	23 085 536 	7 766 
Астраханская область	312 	800 571 062 	42 032 262 	38 554 311 	37 259 928 	412 631 	399 617 	789 852 	41 144 	-	28 856 	10 789 	-	718 	476 833 	87 203 	139 868 	65 457 	80 247 	7 038 	751 	740 	-	-	734 279 	282 024 	606 790 	9 500 	19 879 	442 811 	418 359 	-
Волгоградская область	1 035 	2 014 227 943 	165 923 794 	116 751 494 	114 360 950 	668 418 	67 385 	799 302 	90 678 	3 247 	57 812 	31 188 	1 154 	9 045 	266 522 	15 727 	43 445 	2 303 	24 032 	73 	42 521 	-	-	-	2 950 281 	310 793 	2 007 672 	-	209 481 	1 636 192 	1 666 105 	1 496 
Ростовская область	2 064 	5 878 064 404 	280 919 094 	248 553 883 	215 613 726 	1 742 447 	1 411 031 	1 694 726 	173 820 	34 905 	276 793 	84 878 	120 172 	36 438 	212 499 	32 558 	177 091 	99 509 	36 097 	18 128 	15 055 	10 998 	13 416 	13 416 	1 972 124 	310 850 	3 087 240 	5 728 745 	429 285 	10 831 231 	10 265 097 	35 
г. Севастополь	180 	198 682 679 	12 510 097 	11 594 207 	10 078 189 	24 551 	494 	181 327 	-	-	86 005 	658 	7 612 	-	-	-	-	-	11 076 	-	9 474 	9 474 	-	-	66 249 	3 311 	78 863 	2 173 	11 915 	222 428 	81 303 	7 689 
Северо-Кавказский федеральный округ	1 446 	3 384 494 526 	235 301 978 	146 617 475 	131 602 898 	917 860 	673 930 	4 772 052 	453 365 	25 549 	241 905 	126 149 	50 415 	44 740 	1 161 716 	144 374 	12 303 	-	14 303 	57 	255 310 	9 578 	-	-	2 400 905 	406 735 	2 997 697 	1 118 462 	129 788 	3 365 194 	3 005 001 	26 045 
Республика Дагестан	239 	199 713 071 	18 266 291 	18 119 354 	11 599 550 	31 562 	160 035 	1 463 113 	238 657 	4 454 	26 173 	2 910 	44 851 	14 028 	928 036 	134 867 	10 563 	-	-	-	71 989 	6 769 	-	-	446 262 	57 734 	142 917 	27 240 	26 068 	375 529 	302 118 	-
Республика Ингушетия 	26 	14 772 333 	720 214 	720 214 	324 531 	200 	-	17 800 	-	-	-	-	5 011 	-	-	-	-	-	-	-	10 188 	-	-	-	12 550 	138 	139 339 	-	906 	58 501 	8 641 	-
Кабардино-Балкарская Республика	84 	55 682 650 	2 126 592 	2 076 592 	1 605 022 	11 788 	-	349 102 	113 247 	-	-	-	347 	-	219 835 	-	-	-	-	-	-	-	-	-	29 897 	5 787 	106 859 	-	22 759 	56 204 	18 236 	25 250 
Карачаево-Черкесская Республика	89 	121 260 902 	6 303 594 	3 592 679 	3 305 105 	739 	-	2 356 915 	19 462 	-	-	4 670 	206 	-	11 456 	8 054 	1 740 	-	2 109 	-	168 796 	392 	-	-	44 642 	1 128 	54 992 	-	4 378 	266 819 	217 469 	795 
Республика Северная Осетия – Алания	91 	91 371 893 	2 189 639 	1 887 775 	1 151 160 	1 434 	-	13 210 	522 	-	-	3 813 	-	-	2 389 	1 453 	-	-	-	-	1 920 	-	-	-	84 741 	16 022 	19 871 	94 820 	2 347 	168 505 	282 404 	-
Чеченская Республика	130 	273 493 739 	21 567 228 	21 266 958 	20 763 437 	898 	-	2 417 	-	-	-	-	-	-	-	-	-	-	-	-	2 417 	2 417 	-	-	133 642 	32 676 	191 069 	-	2 711 	226 434 	147 215 	-
Ставропольский край	787 	2 628 199 938 	184 128 420 	98 953 903 	92 854 093 	871 239 	513 895 	569 495 	81 477 	21 095 	215 732 	114 756 	-	30 712 	-	-	-	-	12 194 	57 	-	-	-	-	1 649 171 	293 250 	2 342 650 	996 402 	70 619 	2 213 202 	2 028 918 	-
Приволжский                  федеральный округ	13 488 	55 396 943 724 	4 130 935 544 	3 021 059 781 	2 621 818 624 	27 755 289 	38 756 866 	25 954 461 	2 751 673 	108 015 	1 768 334 	1 603 692 	289 660 	294 262 	4 754 294 	1 295 219 	2 705 893 	607 070 	1 240 847 	564 469 	509 426 	240 198 	387 783 	88 690 	41 050 387 	5 371 698 	54 776 030 	181 652 953 	3 345 366 	50 756 820 	56 439 846 	23 584 
Республика Башкортостан	1 392 	6 323 190 492 	352 372 584 	332 039 773 	271 729 033 	3 201 462 	640 739 	3 516 769 	440 936 	47 863 	177 022 	124 703 	17 844 	1 629 	687 053 	149 332 	140 512 	43 510 	233 196 	203 678 	34 330 	22 568 	-	-	5 249 123 	601 159 	15 413 591 	6 238 302 	224 035 	5 203 455 	3 140 629 	548 
Республика Марий Эл	270 	495 357 675 	27 916 080 	17 620 781 	16 395 996 	248 668 	177 036 	202 316 	1 384 	-	58 773 	4 551 	-	-	12 921 	4 743 	4 494 	-	10 843 	-	-	-	-	-	413 809 	37 433 	118 016 	989 157 	26 873 	599 708 	231 424 	-
Республика Мордовия	390 	1 015 838 156 	34 912 060 	34 288 082 	32 320 963 	249 740 	290 789 	256 482 	9 438 	-	30 395 	15 787 	-	38 	14 689 	8 842 	2 033 	1 333 	28 006 	19 694 	13 630 	5 744 	407 	407 	637 048 	28 499 	711 693 	1 591 	83 606 	917 473 	501 706 	600 
Республика Татарстан	1 736 	13 312 521 896 	978 066 214 	849 535 190 	746 392 092 	8 452 211 	10 614 470 	9 854 804 	500 680 	6 420 	313 944 	438 865 	76 656 	2 476 	2 557 244 	823 882 	1 528 340 	422 313 	701 813 	280 471 	191 593 	140 739 	46 168 	3 737 	9 789 894 	1 378 946 	19 165 723 	92 516 532 	1 253 937 	9 913 609 	17 533 463 	15 
Удмуртская Республика	909 	1 950 690 312 	109 435 331 	82 521 717 	75 146 264 	669 101 	644 294 	713 129 	71 947 	-	30 842 	61 871 	-	29 165 	185 567 	13 425 	6 778 	714 	18 842 	573 	-	-	-	-	1 614 707 	94 278 	1 428 055 	12 567 	132 312 	1 283 288 	1 413 132 	-
Чувашская Республика	548 	878 372 620 	31 626 185 	31 237 211 	24 848 565 	228 510 	577 238 	111 377 	2 171 	-	15 630 	7 801 	-	1 685 	12 897 	11 486 	22 729 	1 588 	-	-	-	-	8 833 	-	308 477 	40 989 	323 724 	5 000 	126 475 	617 915 	813 772 	-
Пермский край	1 575 	5 907 687 765 	522 851 230 	449 781 646 	440 166 557 	4 619 253 	1 835 013 	2 577 388 	277 842 	-	139 222 	383 351 	92 277 	142 412 	276 543 	57 713 	59 860 	19 245 	51 230 	11 193 	7 088 	-	53 169 	9 307 	5 838 703 	884 422 	4 213 748 	177 074 	232 457 	4 977 430 	3 896 053 	-
Кировская область	638 	894 608 293 	57 944 067 	42 581 344 	42 287 633 	237 131 	54 412 	600 004 	10 591 	-	50 704 	57 501 	-	1 658 	40 833 	2 541 	85 615 	24 831 	15 769 	68 	-	-	317 	-	421 321 	55 640 	650 315 	1 431 389 	56 592 	1 264 910 	563 657 	-
Нижегородская область	1 681 	10 338 819 245 	829 187 145 	414 409 947 	330 254 518 	4 788 307 	10 937 764 	2 975 566 	268 221 	60 	493 744 	162 737 	78 	90 148 	274 512 	47 295 	261 237 	21 059 	111 670 	7 672 	1 692 	-	126 019 	6 868 	5 945 065 	649 384 	5 839 306 	1 387 086 	502 963 	12 604 370 	13 068 475 	8 823 
Оренбургская область	653 	2 989 912 283 	417 407 553 	204 704 259 	185 332 259 	958 670 	303 910 	885 674 	119 490 	1 533 	41 895 	168 857 	18 664 	-	50 245 	15 953 	56 280 	25 002 	1 380 	483 	17 895 	92 	-	-	2 713 092 	471 995 	2 348 461 	2 005 983 	40 795 	1 921 522 	740 066 	1 866 
Пензенская область	647 	1 513 907 295 	50 427 431 	47 803 779 	35 499 957 	149 465 	187 425 	203 888 	46 628 	-	419 	36 628 	-	516 	57 382 	1 187 	-	-	10 357 	7 241 	-	-	-	-	437 134 	34 406 	371 326 	816 754 	83 912 	898 603 	1 815 501 	237 
Самарская область	1 679 	6 596 811 205 	529 663 828 	352 412 095 	309 934 340 	3 319 141 	10 672 787 	2 760 911 	702 421 	9 989 	182 674 	75 759 	-	20 357 	574 100 	156 485 	504 286 	39 666 	49 846 	28 233 	155 759 	8 638 	129 983 	45 508 	5 488 283 	507 118 	3 161 458 	3 124 793 	350 348 	6 934 584 	7 433 410 	5 995 
Саратовская область	899 	2 100 771 428 	137 098 429 	126 878 461 	80 505 212 	343 430 	635 439 	1 101 320 	282 748 	42 150 	227 111 	49 039 	83 249 	4 012 	7 973 	-	31 629 	6 937 	7 220 	4 670 	58 793 	46 769 	24 	-	1 629 194 	497 293 	684 922 	64 351 071 	175 349 	1 698 570 	1 762 494 	5 500 
Ульяновская область	471 	1 078 455 059 	52 027 407 	35 245 496 	31 005 235 	290 200 	1 185 550 	194 833 	17 176 	-	5 959 	16 242 	892 	166 	2 335 	2 335 	2 100 	872 	675 	493 	28 646 	15 648 	22 863 	22 863 	564 537 	90 136 	345 692 	8 595 654 	55 712 	1 921 383 	3 526 064 	-
Уральский                        федеральный округ	5 928 	48 684 392 410 	5 648 535 495 	4 800 088 433 	3 500 309 287 	14 697 037 	15 224 993 	51 755 951 	6 734 116 	1 047 030 	1 074 550 	3 488 738 	522 933 	2 029 742 	4 645 130 	914 676 	1 069 245 	394 023 	1 695 680 	780 083 	235 305 	17 880 	1 942 741 	309 258 	49 303 844 	8 459 365 	41 779 449 	28 898 501 	1 724 392 	85 102 466 	37 963 985 	56 103 
Курганская область	319 	690 491 132 	30 634 337 	30 220 109 	24 616 816 	85 659 	321 992 	489 424 	105 528 	-	300 	188 206 	-	38 928 	40 504 	12 506 	20 066 	492 	-	-	-	-	-	-	327 974 	15 014 	468 298 	-	77 813 	711 574 	196 534 	-
Свердловская область	2 299 	13 095 390 965 	1 022 197 773 	708 611 202 	477 298 958 	6 244 960 	2 842 088 	7 674 331 	1 013 047 	5 111 	575 119 	820 384 	9 099 	288 257 	1 318 373 	401 369 	649 229 	249 224 	781 953 	491 847 	19 526 	2 536 	198 910 	12 895 	8 568 054 	875 674 	12 307 723 	11 008 123 	738 653 	14 685 754 	21 378 439 	48 211 
Тюменская область	1 864 	28 346 697 808 	4 127 397 575 	3 664 670 574 	2 754 504 039 	6 540 178 	9 368 386 	39 514 146 	5 305 707 	1 041 919 	57 009 	2 202 474 	283 475 	1 668 805 	2 401 297 	234 401 	95 477 	37 662 	729 245 	229 400 	122 877 	10 186 	1 525 497 	274 698 	37 321 096 	7 376 120 	21 909 001 	8 401 022 	484 926 	56 110 786 	10 978 417 	6 617 
в том числе:																																
Ханты-Мансийский автономный округ – Югра	1 864 	28 346 697 808 	4 127 397 575 	3 664 670 574 	2 754 504 039 	6 540 178 	9 368 386 	39 514 146 	5 305 707 	1 041 919 	57 009 	2 202 474 	283 475 	1 668 805 	2 401 297 	234 401 	95 477 	37 662 	729 245 	229 400 	122 877 	10 186 	1 525 497 	274 698 	37 321 096 	7 376 120 	21 909 001 	8 401 022 	484 926 	56 110 786 	10 978 417 	6 617 
Ямало-Ненецкий автономный округ	323 	11 692 618 897 	1 899 655 332 	1 700 783 138 	1 290 193 008 	2 080 490 	573 675 	17 488 449 	3 411 458 	1 041 919 	11 975 	1 964 435 	15 015 	803 027 	211 208 	178 052 	11 049 	2 654 	241 122 	187 434 	22 768 	3 066 	319 668 	244 088 	18 723 068 	4 871 016 	7 794 938 	-	68 322 	39 416 529 	6 150 894 	4 003 
Тюменская область без автономных округов	692 	4 206 679 000 	498 931 685 	462 800 437 	284 840 525 	799 677 	7 841 842 	330 435 	105 242 	-	-	14 839 	-	-	124 164 	659 	162 	-	10 820 	-	3 923 	3 923 	-	-	2 322 900 	200 258 	8 207 856 	653 210 	234 948 	7 222 900 	2 793 056 	151 
Челябинская область	1 446 	6 551 812 505 	468 305 810 	396 586 548 	243 889 474 	1 826 240 	2 692 527 	4 078 050 	309 834 	-	442 122 	277 674 	230 359 	33 752 	884 956 	266 400 	304 473 	106 645 	184 482 	58 836 	92 902 	5 158 	218 334 	21 665 	3 086 720 	192 557 	7 094 427 	9 489 356 	423 000 	13 594 352 	5 410 595 	1 275 
Сибирский                             федеральный округ	9 058 	33 931 816 251 	4 026 954 829 	3 200 543 511 	1 864 123 604 	13 149 308 	7 815 721 	12 896 202 	1 069 961 	19 328 	1 140 950 	391 610 	447 490 	477 493 	1 395 662 	254 150 	1 026 518 	392 263 	1 138 840 	261 752 	317 220 	109 328 	209 531 	57 657 	26 588 390 	4 744 360 	45 940 441 	49 488 792 	1 756 737 	53 181 361 	25 853 079 	84 864 
